avggift,lastgife,pgift,ampergift,response
10.21,13,0.42,13.17,1
25,25,0.07,25,1
6,5,0.21,5,1
12,25,0.22,25,1
6,10,0.21,6.17,1
16,20,0.1,15,1
14.8,20,0.17,14.8,1
4.34,6,0.41,4.62,1
30,50,0.08,30,1
20,20,0.07,20,1
13.71,15,0.21,18.5,1
17.06,21,0.32,19.4,1
11.71,13,0.19,12,1
10,15,0.09,15,1
5.82,7,0.25,6,1
8.75,14,0.38,12.67,1
16.33,25,0.1,25,1
9.8,15,0.14,9.67,1
13,17,0.14,15,1
4.7,5,0.29,5,1
9.55,15,0.24,12.5,1
8,15,0.19,12.25,1
12.17,15,0.19,13.5,1
7.6,6,0.24,9,1
11,12,0.2,11,1
9.3,11,0.2,10.8,1
10.33,19,0.1,19,1
7.62,10,0.2,7.67,1
17.5,25,0.11,25,1
17,25,0.22,20.6,1
8.33,10,0.33,10,1
7.36,10,0.24,11.67,1
10.6,15,0.11,15,1
24.75,25,0.13,25,1
12.33,15,0.22,15,1
7.33,7,0.15,7.33,1
14.38,25,0.19,22.5,1
12.91,20,0.16,20,1
23.73,35,0.14,40,1
7.29,10,0.21,8.4,1
15,15,0.08,15,1
20,20,0.08,20,1
12.75,20,0.12,17,1
6.75,10,0.17,6.75,1
10.53,10,0.29,13.33,1
6.36,10,0.21,7.75,1
6.67,11,0.22,10,1
17.09,18,0.16,18,1
9.73,10,0.19,16.67,1
7.69,3,0.21,12.5,1
13.09,17,0.19,17.33,1
4.53,4,0.27,4.57,1
14.22,15,0.15,15,1
11,15,0.11,13,1
8,10,0.13,10,1
12.5,20,0.1,12.5,1
10,15,0.1,10,1
9.55,10,0.19,10,1
4.22,6,0.55,5.77,1
8.4,8,0.13,14,1
31,50,0.1,50,1
8,15,0.15,10.67,1
30,30,0.05,30,1
20,20,0.09,20,1
9.17,10,0.18,12.5,1
10.8,20,0.2,11.75,1
6,15,0.48,15,1
8.33,10,0.19,9,1
15,15,0.08,15,1
8.22,14,0.29,13,1
20,20,0.07,20,1
20,20,0.07,20,1
20,20,0.07,20,1
12.33,10,0.19,10,1
20.43,50,0.19,50,1
4.9,3,0.29,4.6,1
10.82,10,0.14,9,1
5.12,10,0.34,10,1
7.6,9,0.16,8.75,1
8.8,10,0.2,8.8,1
3.47,10,0.54,4.1,1
7.14,7,0.42,8,1
36,36,0.08,36,1
11.5,13,0.41,11.55,1
16.25,15,0.12,20,1
16.33,25,0.15,0,1
6.14,20,0.15,10,1
5.53,10,0.28,5,1
12.2,19,0.25,18,1
7.5,3,0.13,11,1
7.9,10,0.18,9.6,1
10.38,12,0.3,12,1
15,15,0.07,15,1
6.67,10,0.18,6.67,1
9.43,10,0.21,14,1
23,23,0.1,23,1
11,10,0.21,10,1
20,20,0.09,20,1
7.62,10,0.36,7.5,1
12.55,15,0.17,15.5,1
10.4,15,0.11,13.5,1
10.4,16,0.14,12,1
10,15,0.16,12.67,1
11,12,0.18,12.75,1
20,20,0.08,20,1
15,20,0.1,20,1
6.58,5,0.4,5.67,1
4.29,10,0.34,5,1
8.75,10,0.15,8.75,1
11.18,12,0.29,11.33,1
10.82,22,0.26,13.33,1
5.87,5,0.25,7.5,1
5.2,5,0.2,5.75,1
4.43,5,0.4,5.5,1
13,25,0.13,25,1
12.4,20,0.1,20,1
15,15,0.07,15,1
8.6,11,0.13,13,1
9.06,10,0.23,10.5,1
6.18,7,0.41,6.5,1
13.39,15,0.21,15.67,1
20,20,0.07,20,1
12.2,19,0.12,18,1
5.74,20,0.25,8.4,1
5.11,10,0.19,6.25,1
21.5,25,0.11,25,1
6.29,10,0.36,8.4,1
8,16,0.24,14,1
12.23,15,0.25,16,1
20,20,0.06,20,1
8.48,10,0.27,13,1
12.5,16,0.12,13.33,1
7.27,4,0.19,10.5,1
3.41,4,0.27,4.25,1
8.67,10,0.24,13,1
15,15,0.08,15,1
10,15,0.13,15,1
6.27,10,0.21,7.5,1
9.8,15,0.2,14.05,1
9.83,10,0.43,10.75,1
12.36,17,0.2,17.75,1
11.25,15,0.12,11.67,1
5,5,0.22,5,1
13.2,20,0.15,20,1
20,20,0.07,20,1
15,15,0.12,15,1
7.61,10,0.25,11.25,1
9.57,10,0.38,10,1
16.4,20,0.14,19,1
20.4,27,0.09,24,1
15,20,0.08,12.5,1
15,15,0.08,15,1
3.81,5,0.37,4.12,1
18.42,25,0.24,20.12,1
13.56,17,0.22,16,1
15.62,30,0.14,24.33,1
6.43,7,0.17,7.4,1
5.18,6,0.32,6.33,1
7.25,10,0.16,7.25,1
8.2,15,0.2,15,1
8.33,12,0.17,10.67,1
10.12,15,0.14,15,1
15,15,0.07,15,1
12.5,15,0.1,12.5,1
12.5,15,0.14,11.67,1
5.67,6,0.32,7.25,1
8.8,20,0.16,14.5,1
3.19,5,0.57,3.57,1
8.21,5,0.22,7.5,1
5.71,3,0.29,7.14,1
20,20,0.07,20,1
10.23,20,0.22,20,1
5,5,0.24,5,1
12.25,20,0.12,20,1
5.57,13,0.21,9.67,1
8.89,12,0.24,10.5,1
5.06,5,0.38,5,1
4.89,5,0.36,5.62,1
6.22,10,0.32,9.4,1
26.67,25,0.46,25,1
3.72,6,0.33,4,1
10.33,10,0.2,10,1
14.11,12,0.25,11,1
5.12,5,0.42,5.18,1
13.57,25,0.12,14,1
5.4,10,0.34,7.83,1
3.73,5,0.22,4.2,1
5.67,5,0.33,6.11,1
10.22,10,0.3,11.4,1
3.69,4,0.32,4.12,1
3.27,20,0.35,11.67,1
6.1,10,0.67,11.67,1
8.67,12,0.21,10.25,1
5.25,8,0.21,6.5,1
11.67,15,0.08,15,1
15,15,0.3,12.5,1
5.38,11,0.28,10.33,1
7,12,0.23,11.5,1
13.14,17,0.26,17,1
6.17,6,0.21,6,1
15.52,20,0.29,19.57,1
10.09,15,0.17,14,1
19.38,25,0.12,25,1
3.61,5,0.65,3.92,1
9.71,13,0.21,11.2,1
6.92,10,0.32,9,1
8.53,10,0.24,11.5,1
7.69,5,0.2,8.5,1
18.18,100,0.19,10,1
10.67,10,0.14,11,1
7.33,5,0.16,5,1
13,10,0.19,11,1
5.23,5,0.25,5.71,1
10.58,15,0.31,13,1
15,20,0.09,20,1
20.88,25,0.13,25,1
20,20,0.06,20,1
4.4,10,0.3,6,1
28,28,0.06,28,1
6.85,12,0.2,10.5,1
10.6,14,0.15,14,1
3.86,7,0.33,5.6,1
20,20,0.08,20,1
23,20,0.12,21.67,1
5.07,5,0.55,5.2,1
11.33,12,0.14,11.33,1
7.36,15,0.25,9.6,1
15,15,0.17,19,1
20,20,0.06,20,1
44.7,25,0.11,25,1
20.46,33,0.21,23.33,1
15,15,0.09,20,1
11.86,15,0.12,15,1
9.73,14,0.17,12.67,1
9.69,10,0.31,8.75,1
6.08,7,0.25,7.57,1
5,5,0.25,5,1
4.47,5,0.33,4.22,1
8,7,0.28,7.71,1
5.5,6,0.32,6.14,1
7.13,10,0.31,8.5,1
17,25,0.09,20,1
15.14,15,0.3,15.29,1
14,20,0.09,20,1
6.08,20,0.18,13.5,1
11.56,10,0.15,11.33,1
6.33,10,0.24,7.5,1
8.27,11,0.24,10.33,1
12.5,15,0.08,15,1
7.24,13,0.23,13,1
8.77,11,0.19,11,1
17.18,22,0.16,22.33,1
12.5,20,0.1,12.5,1
20,25,0.12,15,1
32.33,32,0.12,32.33,1
15.2,20,0.1,20,1
8.13,13,0.24,12,1
17.4,22,0.1,21,1
19,20,0.14,18.75,1
25,20,0.13,25,1
15,15,0.08,0,1
24.27,25,0.29,25,1
15.78,18,0.19,15.88,1
5.47,7,0.29,6.8,1
5.62,5,0.24,6.17,1
5.6,15,0.17,12.5,1
15.1,19,0.16,19,1
13.75,20,0.12,16.67,1
15,15,0.08,15,1
6.35,10,0.26,8.2,1
4.4,6,0.31,4.56,1
10,15,0.12,15,1
5.5,7,0.25,6,1
38.75,60,0.12,51.67,1
10.6,16,0.12,15,1
7.29,10,0.19,10,1
15.2,21,0.1,21,1
5.27,5,0.25,8.75,1
9.5,11,0.36,11,1
10.71,15,0.16,12,1
9.5,10,0.17,11.67,1
8.7,15,0.2,10.2,1
7.29,10,0.25,7.6,1
8.33,6,0.17,12.67,1
6.54,5,0.3,10,1
6.33,8,0.14,7.5,1
11.83,20,0.18,20,1
26.95,25,0.2,36,1
5.28,5,0.52,5,1
9.06,15,0.23,14.8,1
7,7,0.19,7,1
6.93,25,0.21,15,1
5.75,10,0.26,8.67,1
26.25,20,0.11,29,1
12,16,0.12,12,1
7.78,10,0.29,10,1
13.17,17,0.11,17,1
13.17,20,0.12,16,1
9.87,10,0.2,13,1
10.17,12,0.16,10.5,1
6.11,15,0.18,5.75,1
15,15,0.07,15,1
7.5,12,0.2,12,1
15,20,0.13,18.33,1
21.69,25,0.25,22.43,1
13.07,15,0.19,16,1
13.86,20,0.13,20,1
17.5,15,0.1,20,1
11.33,20,0.13,17.5,1
5.7,10,0.23,10.67,1
10.74,15,0.32,13.33,1
11.5,6,0.14,15,1
8.92,5,0.29,10.62,1
12.6,13,0.29,12.43,1
7.75,10,0.24,10,1
10.61,10,0.18,16,1
2.36,5,0.33,4.25,1
5.5,6,0.26,6,1
8.75,10,0.33,10.5,1
9.36,14,0.16,12.67,1
15,20,0.1,20,1
6.04,5,0.35,13.75,1
6.54,11,0.23,10,1
26.33,41,0.15,37.67,1
8.8,12,0.2,10.14,1
3.5,4,0.36,4.88,1
7.5,11,1,9.5,1
20,20,0.06,20,1
20,20,0.1,20,1
11.5,18,0.1,17,1
9.2,14,0.29,14,1
9.25,20,0.15,15,1
7.04,10,0.33,10,1
21.67,25,0.09,21.67,1
20,20,0.07,20,1
20.83,36,0.11,36,1
10.83,12,0.19,12,1
25,25,0.07,25,1
8.04,12,0.31,11.2,1
6.4,10,0.19,7.25,1
10.33,15,0.1,13,1
6.8,10,0.22,6.8,1
5.15,5,0.27,5,1
3.78,5,0.32,4.71,1
9.46,13,0.59,12.09,1
16.33,17,0.13,16.33,1
25,25,0.07,25,1
3.31,3,0.28,4,1
17.1,20,0.17,17.5,1
12.4,20,0.15,16,1
18.27,15,0.16,23.8,1
11.25,10,0.22,13.75,1
20,20,0.08,20,1
7.33,7,0.14,7.33,1
7.47,11,0.26,10.29,1
9.67,15,0.09,12,1
9.94,14,0.24,14.5,1
25,25,0.08,25,1
10.5,20,0.12,17.5,1
8.63,10,0.28,10,1
4.09,4,0.26,4,1
12.33,20,0.12,8.5,1
4.43,3,0.25,4.5,1
3.86,6,0.26,4.25,1
9.75,15,0.19,12,1
10.27,25,0.15,25,1
15,15,0.13,15,1
6.15,9,0.31,8,1
15.67,15,0.17,18,1
15.54,20,0.31,20,1
10.88,12,0.12,15,1
4.69,5,0.27,5.33,1
5.22,5,0.31,5.57,1
9.1,15,0.15,15,1
8.58,12,0.26,11,1
5.71,10,0.47,6,1
11.86,15,0.2,15,1
8.22,10,0.31,10.17,1
15.22,25,0.28,25,1
5.8,6,0.19,5.8,1
10,10,0.15,10,1
11.56,15,0.2,13.5,1
6.33,10,0.29,6.67,1
8.75,10,0.17,8.75,1
20.14,25,0.12,25,1
11.1,15,0.28,13.5,1
5.19,1,0.21,9.67,1
7.5,10,0.23,8.75,1
10,10,0.21,10,1
5.17,5,0.25,5.5,1
11.33,24,0.17,21,1
6,10,0.32,6.8,1
11.43,15,0.15,13.75,1
5.7,7,0.36,6.71,1
15,15,0.07,0,1
8.5,10,0.52,10,1
20,20,0.07,20,1
10,15,0.1,10,1
7.33,11,0.23,10,1
6.33,7,0.26,7,1
15,20,0.17,19,1
8.97,15,0.38,11.75,1
17.17,20,0.15,18.5,1
6.3,5,0.26,5.33,1
9.47,14,0.14,13.26,1
15,15,0.08,15,1
20,15,0.21,20.71,1
14.2,15,0.08,14.2,1
9.52,10,0.29,10,1
4.92,5,0.48,5,1
11.94,14,0.45,13.08,1
9.19,10,0.24,12,1
17.5,15,0.13,20,1
9.56,10,0.27,9.75,1
35,50,0.1,35,1
13,20,0.12,15.67,1
9.86,16,0.13,15,1
4.83,5,0.21,4.83,1
12.6,15,0.12,14.5,1
15,15,0.08,15,1
9.86,15,0.13,15,1
21.74,20,0.08,25,1
9.75,16,0.11,16,1
28,32,0.15,28,1
15,15,0.08,15,1
8.08,15,0.25,15,1
12.5,15,0.08,12.5,1
7.82,15,0.17,12.5,1
12.12,22,0.24,22,1
15,15,0.08,15,1
13.64,20,0.12,12.5,1
9.06,11,0.57,10.2,1
10.5,6,0.14,15,1
22,25,0.13,25,1
13.75,20,0.1,20,1
21.33,10,0.11,20.5,1
11,20,0.18,14,1
17.4,20,0.09,20,1
8,10,0.35,7.2,1
23.67,40,0.12,34.67,1
6.18,8,0.24,8,1
5.27,5,0.24,5,1
4,3,0.25,4.2,1
6.35,10,0.45,9.17,1
7,10,0.17,7.5,1
7.36,11,0.21,9.5,1
22.5,25,0.08,22.5,1
15,15,0.08,15,1
4,6,0.2,4.75,1
19.67,25,0.38,19.67,1
13.71,15,0.11,15,1
21,10,0.11,30,1
6,7,0.26,6,1
15,20,0.16,20,1
7.83,15,0.24,9.83,1
9.27,15,0.23,9.75,1
15,10,0.11,22.5,1
11.19,15,0.49,15.17,1
6.48,12,0.44,9.25,1
16.5,10,0.17,10,1
17.89,28,0.21,27.8,1
9.33,10,0.21,11.75,1
11.64,20,0.19,20,1
10.82,14,0.19,12,1
8.67,15,0.13,10,1
17.14,25,0.17,18.75,1
20,20,0.07,20,1
13.82,10,0.17,10,1
6.08,12,0.17,11,1
7.79,11,0.21,10,1
5,5,0.32,4.2,1
16.27,23,0.16,23,1
20,25,0.12,20,1
5,5,0.25,8,1
14.2,25,0.15,16.5,1
40,25,0.1,33.33,1
11.67,10,0.12,11.67,1
21.6,25,0.17,25,1
12,17,0.12,16,1
13.33,20,0.09,20,1
4.22,3,0.27,3.29,1
14.5,19,0.11,18,1
11.25,25,0.13,11.25,1
17.23,10,0.37,28.33,1
9.15,10,0.2,8.75,1
6.6,7,0.23,6.75,1
9.76,10,0.39,14.25,1
16,17,0.08,17,1
10.55,18,0.16,0,1
20,20,0.09,20,1
9,10,0.15,9,1
8.2,11,0.13,9.67,1
10,20,0.11,10,1
8.67,15,0.15,15,1
4.33,10,0.21,10,1
4.89,5,0.86,5.67,1
15,15,0.06,15,1
9.44,10,0.23,10,1
12.5,15,0.15,13.33,1
9,25,0.11,25,1
20.72,25,0.24,29,1
17.5,25,0.09,17.5,1
24.78,25,0.17,25,1
38,33,0.16,87.5,1
12.83,20,0.1,20,1
5.85,5,0.2,6.83,1
11.67,15,0.09,15,1
11.67,15,0.19,14,1
200,200,0.03,200,1
4.94,2,0.17,8,1
12.33,15,0.11,15,1
7.43,20,0.13,20,1
16,20,0.12,16,1
15,15,0.12,15,1
8.92,12,0.23,10.25,1
10.82,15,0.16,13.75,1
4,5,0.43,5,1
5.79,5,0.3,6.5,1
14,17,0.12,16,1
23.12,25,0.12,25,1
9.67,10,0.17,11.67,1
16.55,32,0.15,16,1
20,20,0.07,20,1
5.2,6,0.2,6,1
14.08,26,0.18,25.5,1
7.82,11,0.19,9.6,1
22.5,25,0.08,22.5,1
25,25,0.1,25,1
10,15,0.1,15,1
11.31,18,0.37,14.67,1
11.46,16,0.28,13.62,1
12.25,20,0.09,20,1
15,15,0.08,15,1
5.55,6,0.26,6.75,1
5,8,0.19,5.4,1
12.5,15,0.12,12.5,1
10,10,0.28,10,1
7.21,10,0.21,9,1
17.5,25,0.1,25,1
13.8,20,0.15,20,1
15,15,0.08,15,1
16.25,25,0.13,18.33,1
12.06,20,0.23,18,1
6.62,0,0.2,7.33,1
7.44,12,0.16,11.33,1
15,15,0.08,15,1
11.55,15,0.22,13.33,1
11.67,15,0.1,15,1
6.62,10,0.17,7.5,1
24.06,32,0.23,29,1
17,10,0.1,25,1
12,20,0.09,15,1
5.14,3,0.24,5.5,1
7.86,10,0.22,8.17,1
10.69,10,0.21,11,1
6,7,0.21,6.83,1
12.57,17,0.15,17,1
8.53,15,0.22,15,1
13,16,0.1,13,1
12,16,0.2,15,1
13.11,30,0.23,27.5,1
5,10,0.26,8.5,1
5.92,6,0.34,6,1
11.67,20,0.12,13.33,1
8.79,10,0.32,10.6,1
8.68,9,0.93,10,1
32.92,50,0.16,50,1
15,15,0.08,15,1
23.12,35,0.11,12.5,1
10,15,0.1,10,1
4.78,5,0.2,5.5,1
20,20,0.07,20,1
4.57,10,0.26,4.6,1
3.04,3,0.42,3.22,1
8.77,10,0.22,10,1
7.33,10,0.15,7.33,1
9.57,15,0.12,12.33,1
7.84,10,0.21,10.8,1
7.05,10,0.24,10,1
5.08,9,0.19,7.67,1
17.5,20,0.07,17.5,1
13.33,15,0.26,26.33,1
13,20,0.12,19,1
24,25,0.17,24,1
12,25,0.12,15,1
12.5,20,0.11,12.5,1
8.36,12,0.46,11,1
11.4,15,0.13,14,1
6.2,14,0.24,8.6,1
16.11,30,0.13,27.5,1
5.8,5,0.16,6.5,1
28,30,0.1,27.5,1
12.81,16,0.2,15.67,1
7.36,11,0.37,9.33,1
19.52,30,0.28,26.88,1
14.87,15,0.15,23,1
4.21,10,0.37,6.67,1
5.94,6,0.44,5.88,1
5.73,4,0.32,6.43,1
15.22,27,0.14,24,1
15,5,0.1,20,1
4,3,0.22,4,1
15,15,0.08,15,1
14.82,20,0.15,18,1
15.25,20,0.13,15.25,1
25,25,0.08,25,1
7.29,9,0.21,8.2,1
25,25,0.09,25,1
5.71,5,0.37,6.25,1
11.67,15,0.1,15,1
14,20,0.12,14,1
5.3,10,0.26,9.33,1
6.6,6,0.27,6.67,1
22.38,35,0.2,25.88,1
4.5,5,0.27,4.67,1
12.7,20,0.16,20,1
19.92,28,0.19,27,1
12.92,15,0.2,15,1
8.64,5,0.25,10.75,1
13,19,0.18,18,1
10.71,10,0.24,11.8,1
6,10,0.24,7.33,1
15.06,25,0.23,18.33,1
4.27,5,0.26,5,1
5.38,15,0.37,7.8,1
5.6,12,0.22,9,1
16.5,20,0.1,20,1
8.58,16,0.26,15.33,1
5.5,10,0.16,5.5,1
13.7,16,0.19,16,1
11.44,20,0.14,20,1
15,25,0.1,15,1
10.19,10,0.28,10,1
12.33,20,0.14,20,1
6.55,10,0.34,8,1
3.6,3,0.52,5.29,1
10.36,15,0.3,14,1
15,20,0.09,20,1
3.11,3,0.41,4.12,1
8,15,0.2,8.5,1
20,20,0.06,20,1
3.82,6,0.24,4.67,1
12.5,20,0.07,20,1
14,25,0.11,14,1
15.85,25,0.27,28,1
20,20,0.08,0,1
25,25,0.06,25,1
4.5,6,0.24,5,1
10.67,20,0.13,20,1
5,4,0.51,5.33,1
10,15,0.12,10,1
9.25,12,0.21,7.5,1
14.57,15,0.12,15,1
13,30,0.26,25,1
4.23,10,0.2,7.33,1
11.4,13,0.14,13,1
12.5,15,0.11,12.5,1
15.4,25,0.1,22.5,1
14.43,25,0.14,18.33,1
8.33,5,0.14,5,1
13,17,0.12,13,1
15,15,0.08,15,1
15,15,0.07,15,1
20,20,0.08,20,1
15,15,0.08,15,1
9.25,10,0.17,10,1
3.41,4,0.39,4,1
8.1,12,0.19,10.8,1
6.6,6,0.24,6.75,1
7,8,0.17,8,1
13,16,0.1,13,1
8.57,7,0.4,6.8,1
15,20,0.1,20,1
13.25,13,0.17,22.33,1
8.62,11,0.37,10.11,1
9.39,10,0.31,15,1
3.12,3,0.4,3.2,1
5.17,7,0.3,5.43,1
9.5,10,0.12,12.5,1
7.2,9,0.17,9.33,1
6.67,20,0.24,13.5,1
14.55,37,0.19,21.67,1
20,20,0.07,20,1
6.67,10,0.15,9,1
6.6,5,0.22,8.4,1
13.43,19,0.26,19.25,1
7.67,7,0.16,7.67,1
11.32,10,0.21,18,1
7.57,10,0.22,10,1
16.5,19,0.11,18,1
11.67,20,0.08,20,1
7.33,15,0.19,11.67,1
10.83,15,0.15,15,1
15,15,0.08,15,1
6.1,5,0.38,6,1
20,20,0.07,20,1
3.75,7,0.35,4,1
3.73,3,0.37,4.5,1
10.7,17,0.24,15.5,1
12.4,20,0.17,15,1
30.75,50,0.15,58.33,1
15,20,0.1,15,1
10,20,0.1,10,1
7.38,11,0.2,9.5,1
9.83,9,0.15,13.67,1
5.61,6,0.31,7.6,1
14,15,0.11,13,1
10.54,15,0.3,11.12,1
17.67,28,0.08,28,1
8.62,10,0.23,10.6,1
22.25,27,0.09,27,1
20,20,0.08,20,1
4.59,6,0.5,5.07,1
17.86,30,0.15,27.5,1
10,10,0.14,10,1
7.19,10,0.31,10,1
13.38,21,0.15,21,1
14.09,3,0.16,20,1
15,25,0.11,15,1
9.6,20,0.16,11.67,1
8.43,10,0.34,10,1
7.21,13,0.24,11,1
4.87,5,0.23,5.6,1
11.86,15,0.14,13.67,1
22.81,20,0.23,23.5,1
7.83,10,0.21,8.2,1
4.84,5,0.27,5,1
7.75,5,0.49,7.75,1
8,13,0.19,8.75,1
15,15,0.07,15,1
13.57,20,0.17,16,1
13,17,0.11,13,1
19,20,0.15,20,1
5.88,10,0.24,6.17,1
20,20,0.07,20,1
35,35,0.1,35,1
6,8,0.5,6.4,1
19.47,25,0.19,20.14,1
20,15,0.13,21.67,1
10,15,0.11,10,1
13.33,15,0.14,15,1
5.71,5,0.19,6.4,1
12.5,15,0.08,12.5,1
7.82,8,0.45,8.18,1
9.73,15,0.16,15,1
12.86,19,0.15,17.75,1
20,20,0.07,20,1
38.67,25,0.16,26.25,1
12,17,0.15,15.67,1
8.75,14,0.15,8.75,1
6.79,8,0.31,6.67,1
5.33,5,0.25,5.5,1
12.14,16,0.19,15,1
6.25,10,0.24,7,1
5,5,0.45,5,1
3.63,5,0.44,5.2,1
10.63,19,0.57,13.38,1
15,20,0.26,18.6,1
10.75,20,0.21,16.25,1
8,10,0.16,8.6,1
6.9,5,0.33,7.8,1
8.61,10,0.39,11.67,1
11.8,20,0.26,20,1
13.67,15,0.12,15.5,1
4.58,10,0.38,8.4,1
13.5,15,0.18,15,1
5.48,10,0.46,7.83,1
12.67,17,0.14,17,1
10.72,12,0.42,11.33,1
10,15,0.14,11.67,1
5.38,5,0.32,5.71,1
10,10,0.17,10,1
17.86,20,0.11,20,1
11.67,10,0.09,20,1
7,10,0.18,8.67,1
8,15,0.11,12,1
11.85,16,0.18,14.5,1
9.67,10,0.21,11.75,1
15.56,19,0.16,17.8,1
3.64,3,0.3,4.14,1
7.15,13,0.21,11.67,1
9.71,15,0.16,12.67,1
15,15,0.06,15,1
7.43,8,0.29,7.67,1
5.29,10,0.37,10,1
6.8,10,0.21,7.67,1
18.75,25,0.11,25,1
17.89,20,0.15,20,1
5.53,15,0.38,15,1
25,25,0.06,25,1
2.45,5,0.55,3.2,1
10.08,10,0.23,12,1
16,17,0.09,17,1
7.33,7,0.14,7.33,1
11.44,16,0.24,0,1
11.79,5,0.26,15.2,1
10.31,12,0.23,12,1
6,10,0.27,7.8,1
11.23,13,0.18,14.33,1
5.08,5,0.33,6.86,1
3.57,5,0.41,4.5,1
8.86,11,0.47,11.27,1
6.67,10,0.14,6.67,1
9.12,10,0.24,14,1
9.8,25,0.1,25,1
11.83,12,0.12,18.5,1
7.14,12,0.18,12,1
10.5,6,0.14,15,1
5.2,10,0.39,10,1
12,15,0.09,12.5,1
11.67,15,0.11,11.67,1
13,20,0.14,16.67,1
20,20,0.07,20,1
8,10,0.23,10,1
7.33,15,0.12,9,1
12.33,15,0.26,14,1
79.17,100,0.06,100,1
12,18,0.2,16.25,1
15,15,0.08,15,1
15,15,0.07,15,1
7.67,10,0.27,9,1
9.84,10,0.32,10.56,1
32.31,50,0.14,50,1
7.56,10,0.19,8.33,1
22.5,25,0.09,22.5,1
10,18,0.16,16,1
33.33,50,0.07,37.5,1
57.5,100,0.11,73.33,1
10.25,10,0.19,10,1
15,15,0.1,15,1
8.14,10,0.17,8.4,1
7.33,5,0.19,10,1
22.67,46,0.16,26.2,1
4.27,7,0.22,5.33,1
7.64,10,0.21,10,1
3.55,5,0.43,4,1
11.67,20,0.1,11.67,1
8.1,4,0.28,12,1
5.62,10,0.22,8.75,1
11.53,15,0.25,18,1
5.36,5,0.24,5.5,1
13.67,15,0.11,13.67,1
6.75,7,0.15,6.75,1
14.89,21,0.15,20.5,1
7.44,10,0.29,10,1
7.3,15,0.14,10,1
6.16,10,0.31,9,1
12.75,20,0.1,17.5,1
4.73,6,0.3,4.25,1
7.17,15,0.12,11,1
9.55,10,0.18,10.5,1
12.11,15,0.14,15,1
9.52,13,0.32,11,1
10.14,13,0.19,11.8,1
8.64,15,0.52,10.2,1
10.12,16,0.14,14.67,1
17.86,25,0.15,21.25,1
6.33,8,0.3,8,1
9.2,16,0.12,12,1
10.83,15,0.16,15,1
12.14,30,0.15,30,1
8.45,12,0.2,11.33,1
6.75,12,0.19,11.33,1
5.43,8,0.23,9.5,1
25,25,0.08,0,1
7.47,13,0.54,11.33,1
14.86,20,0.11,20,1
21.27,25,0.34,25,1
6.5,5,0.35,5.5,1
20.83,25,0.1,25,1
6.87,10,0.31,7.43,1
11.67,17,0.25,16,1
6.59,8,0.3,6.38,1
12.5,17,0.12,15.67,1
12,19,0.12,18,1
7.75,10,0.2,8.8,1
15.1,15,0.18,0,1
25,25,0.07,0,1
23,23,0.07,23,1
5.64,10,0.42,9.5,1
6.4,10,0.27,7.4,1
50,50,0.05,50,1
5.57,20,0.13,11.5,1
15.67,17,0.11,15.67,1
7.44,10,0.6,8.08,1
3.06,5,0.39,4,1
20.88,32,0.2,24,1
4.6,5,0.3,5.33,1
5.14,4,0.26,4.4,1
13.67,20,0.13,16.67,1
5.47,8,0.29,8,1
18.75,20,0.07,20,1
7.57,10,0.23,7.83,1
5.54,10,0.19,11.67,1
