avggift,lastgife,pgift,ampergift,response
1.64,5,0.59,2.60,0
7.30,12,0.17,10.67,0
7.62,10,0.24,9.00,0
8.33,10,0.20,11.25,0
15.21,30,0.28,16.00,0
8.67,11,0.17,10.50,0
10.42,18,0.20,18.00,0
13.67,15,0.09,15.00,0
10.00,5,0.12,10.00,0
11.29,15,0.12,0.00,0
11.71,20,0.23,20.00,0
7.27,0,0.16,9.33,0
9.08,10,0.20,0.00,0
12.67,12,0.14,12.67,0
8.20,15,0.11,12.00,0
8.89,9,0.32,9.00,0
11.25,15,0.11,13.33,0
15.11,25,0.14,21.67,0
5.90,15,0.29,7.00,0
6.00,15,0.15,10.00,0
23.00,23,0.07,23.00,0
15.00,15,0.07,15.00,0
5.89,7,0.33,7.20,0
9.73,12,0.23,12.00,0
15.00,20,0.12,15.00,0
10.64,16,0.16,15.00,0
11.43,14,0.13,14.33,0
7.50,10,0.17,7.50,0
14.83,20,0.12,20.00,0
14.70,15,0.22,15.33,0
9.31,10,0.27,13.17,0
22.50,25,0.11,22.50,0
12.75,20,0.12,15.33,0
7.21,12,0.22,11.00,0
8.80,15,0.24,11.17,0
16.67,20,0.08,20.00,0
11.00,20,0.19,15.50,0
15.00,20,0.22,15.00,0
15.00,15,0.08,15.00,0
10.89,16,0.24,15.00,0
5.70,7,0.23,6.40,0
9.32,10,0.32,10.83,0
8.80,12,0.22,10.67,0
8.90,10,0.23,11.33,0
8.00,20,0.14,10.00,0
7.75,15,0.13,9.33,0
15.00,15,0.08,15.00,0
9.33,20,0.15,20.00,0
17.73,20,0.18,30.50,0
4.47,5,0.23,7.00,0
12.50,20,0.10,12.50,0
13.67,20,0.13,20.00,0
13.33,25,0.14,22.50,0
4.63,5,0.37,6.00,0
9.14,6,0.24,9.67,0
5.85,5,0.20,7.50,0
9.86,10,0.15,20.00,0
6.94,10,0.27,7.14,0
6.47,10,0.25,9.33,0
7.25,15,0.18,11.00,0
17.14,20,0.11,20.00,0
4.83,5,0.24,5.40,0
12.00,10,0.12,25.00,0
13.67,25,0.08,25.00,0
5.68,15,0.32,9.25,0
4.90,3,0.27,5.83,0
20.67,28,0.14,28.00,0
15.50,25,0.17,20.00,0
15.00,15,0.07,15.00,0
20.00,20,0.14,20.00,0
7.27,10,0.20,10.00,0
7.00,8,0.20,7.00,0
20.00,20,0.07,20.00,0
8.75,10,0.42,11.00,0
12.00,20,0.11,20.00,0
11.25,10,0.15,11.25,0
6.86,10,0.13,8.33,0
12.50,15,0.09,15.00,0
8.58,11,0.23,15.00,0
20.00,20,0.07,20.00,0
7.00,5,0.24,5.00,0
14.75,20,0.34,20.00,0
7.67,10,0.32,10.00,0
4.25,5,0.25,4.14,0
21.67,25,0.08,25.00,0
20.00,20,0.08,20.00,0
7.60,10,0.28,10.00,0
2.86,5,0.23,2.83,0
5.83,8,0.23,6.40,0
8.59,0,0.19,0.00,0
11.67,25,0.11,25.00,0
14.70,20,0.10,17.83,0
15.00,15,0.07,15.00,0
15.60,10,0.15,10.00,0
4.88,6,0.25,5.33,0
13.00,30,0.13,30.00,0
15.00,15,0.08,15.00,0
5.42,5,0.32,5.62,0
9.33,10,0.18,10.00,0
14.82,25,0.44,22.33,0
16.75,25,0.10,16.00,0
3.54,5,0.55,5.50,0
25.67,27,0.10,25.67,0
12.67,18,0.15,16.67,0
12.64,15,0.17,13.67,0
7.68,5,0.42,11.60,0
11.67,17,0.15,15.67,0
10.05,5,0.28,9.09,0
22.56,29,0.15,31.67,0
14.09,25,0.14,25.00,0
15.00,15,0.07,15.00,0
4.95,10,0.25,10.00,0
11.87,30,0.21,27.50,0
9.78,20,0.14,17.50,0
7.00,7,0.20,7.50,0
10.00,12,0.26,11.33,0
7.10,10,0.22,8.00,0
6.00,9,0.27,6.14,0
9.67,5,0.16,15.00,0
5.25,5,0.33,5.22,0
3.14,6,0.51,4.75,0
15.86,25,0.26,24.67,0
20.00,20,0.07,20.00,0
10.94,20,0.23,15.50,0
10.12,20,0.16,12.75,0
15.00,15,0.08,15.00,0
50.00,50,0.06,50.00,0
13.47,10,0.24,10.00,0
13.50,20,0.11,14.67,0
12.46,14,0.24,14.40,0
13.00,16,0.08,13.00,0
5.00,5,0.30,5.00,0
10.50,25,0.27,16.00,0
10.45,14,0.17,12.50,0
8.50,16,0.17,10.33,0
20.00,20,0.06,20.00,0
20.00,20,0.06,20.00,0
10.75,15,0.11,15.00,0
9.60,16,0.16,15.50,0
12.00,15,0.13,17.00,0
4.20,3,0.45,4.36,0
11.96,15,0.30,15.00,0
12.62,20,0.22,18.00,0
12.50,15,0.10,12.50,0
10.00,15,0.09,15.00,0
8.91,15,0.30,14.00,0
6.73,20,0.29,5.75,0
25.00,25,0.07,25.00,0
16.27,20,0.19,23.33,0
8.75,5,0.14,8.75,0
5.33,7,0.21,5.33,0
25.71,40,0.14,28.00,0
20.00,20,0.07,20.00,0
20.00,20,0.07,20.00,0
18.33,25,0.08,25.00,0
13.00,16,0.12,13.00,0
13.17,17,0.11,17.00,0
18.60,25,0.09,26.00,0
8.57,25,0.22,14.00,0
9.81,10,0.28,11.60,0
10.50,16,0.14,17.00,0
15.00,20,0.09,15.00,0
15.00,15,0.11,15.00,0
32.22,25,0.10,27.50,0
5.06,6,0.24,6.40,0
17.33,25,0.18,21.50,0
21.36,20,0.17,20.00,0
8.38,12,0.32,12.00,0
13.40,10,0.15,13.00,0
20.00,20,0.07,20.00,0
11.08,15,0.20,15.00,0
5.63,7,0.39,6.22,0
4.08,5,0.26,4.00,0
30.00,30,0.07,30.00,0
16.55,20,0.12,22.50,0
4.78,10,0.20,6.67,0
22.00,25,0.10,25.00,0
9.06,15,0.23,11.25,0
6.00,15,0.25,11.00,0
27.75,50,0.45,38.33,0
13.33,20,0.14,20.00,0
9.67,10,0.16,10.60,0
8.67,15,0.12,10.00,0
10.60,15,0.13,14.00,0
16.60,20,0.16,15.50,0
9.67,16,0.17,16.00,0
9.27,10,0.26,10.50,0
8.50,16,0.25,15.00,0
10.00,15,0.10,10.00,0
9.09,6,0.26,10.29,0
9.00,15,0.12,11.67,0
8.58,10,0.18,10.00,0
12.50,20,0.08,12.50,0
9.61,10,0.38,9.71,0
13.33,25,0.12,15.00,0
8.80,5,0.21,11.50,0
20.00,25,0.09,0.00,0
8.74,15,0.44,11.50,0
19.91,25,0.15,29.50,0
27.50,30,0.06,27.50,0
15.00,15,0.09,15.00,0
5.00,10,0.29,10.00,0
4.94,5,0.44,5.00,0
12.50,20,0.11,12.50,0
20.00,20,0.08,20.00,0
8.67,3,0.15,8.67,0
5.64,10,0.29,5.88,0
12.17,20,0.21,18.25,0
20.00,20,0.07,20.00,0
16.73,26,0.23,19.80,0
7.11,8,0.17,10.50,0
6.75,5,0.25,7.33,0
9.00,15,0.15,15.00,0
5.14,7,0.18,6.00,0
11.00,25,0.18,25.00,0
8.89,15,0.18,12.50,0
5.13,8,0.24,6.80,0
6.00,8,0.21,6.80,0
6.47,10,0.29,10.67,0
25.00,30,0.11,27.50,0
6.00,15,0.14,15.00,0
12.36,20,0.16,17.33,0
8.00,20,0.19,10.00,0
15.00,15,0.08,15.00,0
6.50,10,0.42,8.57,0
10.50,15,0.19,12.50,0
10.00,15,0.12,15.00,0
17.87,30,0.28,35.00,0
10.47,10,0.22,11.75,0
20.00,20,0.10,20.00,0
5.78,5,0.31,6.12,0
4.82,5,0.38,4.83,0
15.33,25,0.23,22.50,0
15.50,17,0.13,17.33,0
17.50,20,0.17,20.00,0
12.67,15,0.11,12.67,0
17.50,20,0.08,17.50,0
15.00,15,0.11,15.00,0
4.70,5,0.27,5.00,0
15.00,15,0.07,15.00,0
15.00,15,0.06,15.00,0
13.60,30,0.12,30.00,0
12.00,16,0.10,16.00,0
9.38,15,0.17,15.00,0
6.94,10,0.24,8.75,0
6.36,10,0.23,10.00,0
12.71,20,0.13,20.00,0
50.62,30,0.10,26.67,0
12.50,20,0.07,20.00,0
20.00,15,0.30,12.40,0
20.00,20,0.07,20.00,0
11.67,20,0.14,11.67,0
8.13,10,0.24,10.00,0
19.00,27,0.12,25.00,0
15.00,15,0.07,15.00,0
11.69,11,0.33,13.67,0
11.86,13,0.16,13.60,0
4.87,10,0.41,10.00,0
13.50,22,0.16,20.67,0
13.50,20,0.14,13.50,0
8.50,15,0.20,15.50,0
11.14,15,0.17,15.33,0
25.00,25,0.06,25.00,0
6.29,5,0.22,9.67,0
15.00,20,0.10,15.00,0
15.00,15,0.17,15.00,0
12.29,15,0.15,13.20,0
27.50,30,0.12,30.00,0
13.80,25,0.15,21.67,0
11.20,12,0.20,11.50,0
8.18,25,0.16,22.50,0
9.05,15,0.27,12.00,0
20.00,15,0.19,20.00,0
12.33,17,0.10,16.00,0
5.62,10,0.21,5.83,0
4.25,4,0.41,5.00,0
44.00,25,0.13,25.00,0
5.21,15,0.20,12.00,0
5.53,10,0.26,10.00,0
6.92,7,0.23,11.25,0
5.00,3,0.22,5.40,0
20.00,20,0.07,20.00,0
17.50,25,0.07,25.00,0
10.00,15,0.10,15.00,0
20.00,20,0.07,20.00,0
15.00,10,0.11,20.00,0
7.29,8,0.20,7.67,0
11.60,25,0.14,15.33,0
25.00,25,0.06,25.00,0
12.20,15,0.15,14.00,0
8.04,10,0.24,10.00,0
10.00,15,0.09,10.00,0
6.00,10,0.43,11.00,0
25.00,25,0.06,25.00,0
15.00,20,0.10,15.00,0
14.00,3,0.18,25.00,0
11.50,21,0.12,21.00,0
9.60,15,0.23,14.00,0
11.89,20,0.23,20.00,0
15.20,15,0.17,17.50,0
20.94,25,0.22,32.50,0
7.71,9,0.21,8.83,0
9.88,13,0.19,10.67,0
10.92,14,0.28,10.00,0
15.00,0,0.12,25.00,0
13.00,16,0.09,13.00,0
9.00,15,0.10,11.00,0
9.09,20,0.21,20.00,0
9.48,17,0.38,16.00,0
8.18,10,0.27,10.67,0
15.00,20,0.10,15.00,0
13.20,15,0.15,15.00,0
15.00,0,0.06,15.00,0
10.00,15,0.10,10.00,0
15.00,20,0.07,20.00,0
15.00,15,0.06,15.00,0
9.86,15,0.21,12.75,0
6.06,4,0.33,7.67,0
25.50,27,0.11,27.33,0
11.67,10,0.19,10.00,0
2.04,5,0.40,2.44,0
8.71,15,0.12,12.50,0
13.40,20,0.10,18.50,0
13.33,16,0.14,13.33,0
10.33,20,0.12,12.50,0
16.00,20,0.10,22.50,0
13.79,10,0.20,15.00,0
13.00,20,0.19,15.00,0
15.00,15,0.08,15.00,0
15.00,15,0.09,15.00,0
9.62,10,0.14,10.50,0
5.83,5,0.17,6.67,0
10.09,10,0.17,10.00,0
12.33,12,0.12,12.33,0
10.00,15,0.10,10.00,0
8.56,15,0.15,12.50,0
6.05,8,0.30,6.86,0
16.30,30,0.16,30.00,0
12.50,15,0.08,12.50,0
9.17,15,0.18,10.00,0
11.25,10,0.10,15.00,0
5.35,6,0.67,7.00,0
15.00,20,0.07,20.00,0
28.33,30,0.11,30.00,0
18.20,25,0.10,25.00,0
20.00,20,0.11,20.00,0
20.00,20,0.08,20.00,0
15.00,15,0.10,15.00,0
7.73,15,0.17,15.00,0
15.00,15,0.08,15.00,0
12.00,14,0.28,12.67,0
15.00,15,0.08,15.00,0
6.44,10,0.25,6.83,0
6.29,7,0.21,6.83,0
16.45,26,0.16,20.67,0
12.33,16,0.11,16.00,0
9.00,10,0.18,10.00,0
7.14,7,0.28,7.86,0
4.38,10,0.55,6.50,0
15.33,20,0.09,18.00,0
20.00,20,0.09,20.00,0
15.00,15,0.07,15.00,0
6.67,5,0.18,6.67,0
8.67,15,0.23,13.50,0
16.67,30,0.15,20.00,0
5.29,5,0.44,5.33,0
9.75,15,0.11,15.00,0
9.17,20,0.12,16.00,0
6.14,10,0.35,8.67,0
11.43,10,0.11,20.00,0
13.33,15,0.12,13.33,0
20.00,20,0.06,20.00,0
12.10,20,0.15,20.00,0
6.79,10,0.29,10.00,0
9.40,15,0.11,13.00,0
12.75,15,0.17,15.40,0
11.29,15,0.16,15.00,0
14.00,16,0.13,17.00,0
6.58,10,0.42,10.00,0
13.00,20,0.12,20.00,0
12.00,6,0.21,12.00,0
9.60,10,0.16,11.00,0
20.00,20,0.07,20.00,0
15.00,15,0.07,15.00,0
10.67,12,0.18,10.67,0
19.43,35,0.11,30.50,0
3.27,4,0.31,4.20,0
3.75,10,0.27,8.00,0
15.00,25,0.09,15.00,0
9.36,10,0.23,12.17,0
10.00,0,0.11,7.50,0
5.58,7,0.27,5.86,0
6.00,8,0.22,6.40,0
15.00,30,0.30,16.25,0
11.25,21,0.13,18.33,0
13.83,25,0.12,22.50,0
22.50,35,0.09,25.00,0
9.22,15,0.16,15.00,0
9.33,15,0.19,15.00,0
11.67,20,0.10,11.67,0
4.88,5,0.24,5.17,0
13.33,16,0.14,13.33,0
15.80,20,0.10,0.00,0
25.00,10,0.14,20.00,0
26.00,25,0.09,27.50,0
12.50,20,0.09,12.50,0
15.86,25,0.10,25.00,0
16.00,16,0.12,16.00,0
11.25,16,0.16,16.00,0
25.00,25,0.07,25.00,0
11.38,20,0.36,20.00,0
10.77,25,0.23,10.50,0
9.50,15,0.12,13.00,0
5.56,6,0.26,6.00,0
20.00,20,0.08,20.00,0
5.05,7,0.85,6.00,0
14.00,20,0.13,16.67,0
20.00,20,0.07,20.00,0
8.00,10,0.15,8.00,0
8.00,9,0.14,8.00,0
15.00,15,0.08,15.00,0
4.57,5,0.61,5.25,0
8.65,25,0.20,17.00,0
12.50,15,0.10,12.50,0
9.00,20,0.14,12.50,0
8.80,10,0.20,10.67,0
11.00,20,0.14,15.00,0
20.00,20,0.11,20.00,0
15.80,17,0.16,15.67,0
12.75,20,0.08,20.00,0
16.00,17,0.10,16.00,0
9.00,15,0.11,9.00,0
7.20,10,0.17,7.20,0
20.00,20,0.14,20.00,0
32.86,45,0.11,45.00,0
13.08,15,0.20,17.50,0
11.16,25,0.33,22.50,0
25.00,25,0.12,25.00,0
21.67,15,0.12,25.00,0
18.00,21,0.12,18.00,0
25.00,25,0.06,25.00,0
6.60,8,0.19,8.00,0
25.00,25,0.07,25.00,0
9.97,11,0.34,12.00,0
11.00,15,0.15,15.00,0
11.40,15,0.13,15.00,0
11.36,20,0.21,20.00,0
16.00,22,0.13,22.00,0
7.06,8,0.32,8.75,0
7.85,11,0.36,11.00,0
18.33,25,0.09,25.00,0
12.00,15,0.13,15.00,0
20.00,20,0.08,0.00,0
22.50,25,0.08,22.50,0
10.92,16,0.20,14.00,0
12.50,10,0.08,15.00,0
10.33,11,0.12,10.33,0
3.44,3,0.46,5.83,0
3.22,4,0.53,3.83,0
12.33,17,0.07,17.00,0
8.29,15,0.29,12.50,0
13.00,16,0.12,16.00,0
9.40,5,0.17,10.50,0
6.29,12,0.21,12.00,0
26.75,30,0.08,28.50,0
8.50,18,0.17,10.00,0
7.58,12,0.21,10.40,0
3.29,5,0.36,3.50,0
8.71,10,0.17,9.80,0
9.20,17,0.19,15.67,0
17.00,25,0.09,20.50,0
9.33,10,0.15,10.00,0
6.69,10,0.21,10.00,0
10.86,20,0.15,10.00,0
15.00,15,0.10,15.00,0
20.00,20,0.25,21.67,0
25.00,25,0.06,25.00,0
11.54,20,0.21,12.86,0
23.50,25,0.15,20.00,0
5.33,7,0.16,6.00,0
25.83,30,0.18,26.25,0
5.11,5,0.30,5.12,0
5.55,18,0.28,10.50,0
17.20,18,0.12,18.00,0
9.07,10,0.24,10.50,0
4.97,6,0.38,6.12,0
11.11,15,0.14,15.00,0
6.68,10,0.29,10.00,0
7.50,10,0.17,7.50,0
15.00,20,0.09,15.00,0
13.00,16,0.10,13.00,0
6.20,8,0.32,6.12,0
20.00,20,0.08,20.00,0
15.00,15,0.07,15.00,0
11.82,15,0.16,15.00,0
6.53,11,0.37,9.67,0
105.00,105,0.07,105.00,0
13.33,25,0.13,13.33,0
22.67,36,0.14,29.00,0
6.61,5,0.31,8.60,0
3.41,7,0.31,5.40,0
6.11,6,0.46,6.12,0
21.88,30,0.21,27.50,0
80.00,100,0.09,100.00,0
20.00,20,0.07,20.00,0
9.92,17,0.18,15.67,0
9.36,13,0.22,10.71,0
2.54,5,0.39,2.86,0
30.00,35,0.08,32.50,0
5.18,5,0.39,5.22,0
11.30,11,0.16,10.00,0
11.06,30,0.21,20.00,0
11.40,10,0.42,8.00,0
12.88,25,0.14,25.00,0
14.00,20,0.12,20.00,0
17.50,20,0.09,17.50,0
9.47,12,0.21,10.67,0
10.00,10,0.15,10.00,0
8.21,10,0.33,8.75,0
18.41,15,0.26,17.50,0
7.21,10,0.38,10.00,0
9.50,25,0.18,13.75,0
4.50,5,0.25,5.00,0
8.33,12,0.15,10.67,0
20.00,20,0.10,20.00,0
8.60,6,0.19,6.80,0
25.00,25,0.15,25.00,0
9.75,15,0.14,13.67,0
10.25,12,0.11,12.00,0
10.00,10,0.19,10.00,0
11.56,10,0.22,18.00,0
5.42,10,0.19,7.80,0
17.50,20,0.10,20.00,0
10.30,25,0.19,20.00,0
11.14,17,0.15,18.00,0
8.63,19,0.41,18.00,0
52.12,100,0.08,83.33,0
20.00,20,0.08,20.00,0
12.06,23,0.18,16.00,0
8.06,20,0.29,10.00,0
13.25,18,0.12,19.00,0
22.50,20,0.11,20.00,0
5.00,5,0.27,5.14,0
20.00,20,0.13,20.00,0
8.60,10,0.15,10.00,0
10.00,15,0.10,10.00,0
6.67,5,0.18,7.50,0
9.50,4,0.12,15.00,0
20.00,20,0.07,20.00,0
27.50,30,0.08,27.50,0
15.07,30,0.19,26.00,0
10.00,15,0.16,12.50,0
5.86,5,0.19,7.00,0
23.00,23,0.06,23.00,0
15.88,10,0.20,18.75,0
21.57,26,0.18,23.20,0
11.67,10,0.14,12.50,0
15.00,15,0.07,15.00,0
12.15,20,0.18,20.00,0
20.00,20,0.07,20.00,0
11.78,20,0.27,14.00,0
5.13,5,0.23,3.50,0
20.00,20,0.08,20.00,0
15.25,10,0.13,15.00,0
7.93,14,0.22,14.00,0
20.00,20,0.09,20.00,0
13.75,20,0.14,18.00,0
10.29,15,0.22,15.00,0
5.36,5,0.28,5.00,0
6.38,7,0.35,5.67,0
10.00,5,0.13,0.00,0
20.00,20,0.07,20.00,0
8.35,10,0.36,10.00,0
6.46,7,0.28,7.00,0
9.92,13,0.24,11.25,0
8.00,16,0.18,15.00,0
4.00,3,0.20,3.67,0
8.93,13,0.24,11.57,0
11.54,20,0.17,20.00,0
15.00,20,0.07,20.00,0
4.38,10,0.26,7.50,0
10.00,13,0.15,11.67,0
11.67,15,0.11,11.67,0
13.00,15,0.22,14.00,0
20.00,20,0.08,20.00,0
11.25,10,0.12,11.25,0
6.00,15,0.13,15.00,0
6.75,7,0.17,6.75,0
5.50,6,0.37,5.83,0
17.00,24,0.10,21.00,0
10.50,15,0.11,13.50,0
10.30,12,0.15,12.00,0
12.67,17,0.12,15.67,0
25.00,25,0.06,25.00,0
25.00,25,0.06,25.00,0
14.71,25,0.28,25.00,0
42.27,50,0.25,50.00,0
13.25,20,0.13,15.33,0
22.50,25,0.10,22.50,0
11.00,15,0.12,13.00,0
10.00,20,0.21,11.60,0
20.38,25,0.26,19.71,0
6.84,10,0.26,7.67,0
15.00,20,0.08,15.00,0
20.00,20,0.08,20.00,0
10.71,19,0.12,18.00,0
13.00,16,0.08,13.00,0
14.33,19,0.12,18.33,0
9.50,20,0.15,11.67,0
8.94,10,0.30,9.80,0
6.05,10,0.29,8.50,0
22.07,25,0.20,27.00,0
34.36,35,0.17,35.00,0
9.00,10,0.41,10.00,0
11.00,10,0.17,11.00,0
5.60,7,0.22,6.00,0
15.00,15,0.08,15.00,0
8.55,15,0.17,13.67,0
26.70,25,0.17,37.50,0
15.00,15,0.08,15.00,0
7.67,10,0.29,10.00,0
13.56,20,0.18,18.00,0
16.67,27,0.21,27.00,0
20.00,20,0.06,20.00,0
15.00,15,0.09,15.00,0
7.86,10,0.32,10.00,0
5.64,5,0.25,5.83,0
8.42,7,0.18,11.50,0
19.25,25,0.08,22.50,0
30.00,50,0.06,30.00,0
10.67,12,0.13,10.67,0
7.33,10,0.21,7.50,0
9.60,15,0.18,11.80,0
12.50,10,0.11,15.00,0
9.60,10,0.16,9.60,0
13.00,20,0.16,20.00,0
8.75,10,0.22,10.33,0
9.67,15,0.13,14.00,0
13.33,16,0.24,15.00,0
5.42,5,0.25,5.29,0
18.06,25,0.32,26.67,0
3.39,2,0.35,3.20,0
17.50,25,0.07,17.50,0
20.00,20,0.07,20.00,0
11.65,12,0.26,14.50,0
16.50,20,0.11,16.50,0
5.40,5,0.24,4.33,0
13.78,10,0.15,16.33,0
16.45,45,0.15,37.50,0
15.00,15,0.08,15.00,0
17.00,62,0.14,39.00,0
23.00,23,0.08,23.00,0
20.00,20,0.06,20.00,0
13.67,30,0.12,30.00,0
14.00,15,0.12,16.67,0
4.43,5,0.24,4.67,0
10.00,5,0.17,15.00,0
20.00,20,0.07,20.00,0
13.50,15,0.23,15.00,0
7.25,10,0.25,9.00,0
12.83,25,0.20,26.50,0
19.56,26,0.16,23.67,0
10.47,18,0.38,10.33,0
13.33,0,0.12,10.00,0
12.00,20,0.11,20.00,0
14.00,20,0.18,16.60,0
11.75,15,0.13,11.75,0
18.00,25,0.06,25.00,0
12.00,20,0.09,20.00,0
13.50,15,0.10,15.00,0
9.27,6,0.27,10.80,0
7.30,6,0.33,8.00,0
9.22,30,0.23,27.50,0
7.60,10,0.15,8.67,0
25.00,25,0.09,25.00,0
17.23,30,0.19,28.75,0
8.17,10,0.41,8.33,0
20.00,20,0.07,20.00,0
10.40,15,0.19,14.00,0
8.36,11,0.19,11.00,0
13.14,15,0.12,20.00,0
5.43,15,0.21,6.67,0
5.58,5,0.52,8.57,0
15.00,15,0.06,15.00,0
10.15,5,0.14,20.00,0
15.43,20,0.22,15.60,0
5.45,10,0.31,6.00,0
8.33,15,0.10,15.00,0
8.33,17,0.15,17.00,0
8.89,15,0.22,15.00,0
19.50,25,0.10,25.00,0
9.41,12,0.28,13.00,0
10.80,14,0.14,12.25,0
8.75,12,0.23,12.00,0
5.86,7,0.38,7.29,0
11.93,20,0.20,20.00,0
10.73,15,0.16,12.20,0
7.12,11,0.24,11.00,0
8.29,10,0.17,10.00,0
15.41,16,0.22,13.33,0
6.33,5,0.23,9.00,0
18.33,20,0.14,16.67,0
14.25,25,0.22,23.00,0
5.56,10,0.25,10.00,0
7.50,11,0.19,9.50,0
8.50,10,0.15,11.00,0
13.14,15,0.10,15.00,0
10.00,15,0.11,10.00,0
10.36,20,0.25,13.00,0
10.88,5,0.24,11.40,0
6.73,10,0.22,7.50,0
10.00,15,0.09,10.00,0
13.00,15,0.13,13.00,0
8.33,7,0.20,7.20,0
12.36,15,0.21,15.00,0
12.40,20,0.11,12.00,0
7.37,10,0.22,10.00,0
9.70,11,0.26,11.00,0
5.62,10,0.30,5.50,0
17.60,25,0.19,19.50,0
10.57,15,0.13,12.50,0
6.67,5,0.16,6.67,0
5.36,7,0.27,5.25,0
9.62,20,0.15,20.00,0
15.00,20,0.10,15.00,0
83.33,100,0.11,100.00,0
10.08,10,0.19,11.50,0
15.00,15,0.07,15.00,0
18.75,25,0.10,25.00,0
21.67,25,0.11,21.67,0
7.67,15,0.25,15.00,0
16.92,10,0.17,19.17,0
12.56,13,0.20,11.60,0
11.85,17,0.18,15.67,0
22.00,10,0.15,50.00,0
10.88,15,0.18,14.33,0
5.60,11,0.23,8.67,0
7.80,7,0.19,8.25,0
10.33,15,0.11,13.00,0
13.56,15,0.21,18.75,0
15.00,20,0.08,20.00,0
16.00,17,0.09,16.00,0
19.50,30,0.10,27.50,0
13.00,16,0.08,16.00,0
7.70,12,0.17,10.33,0
7.83,10,0.16,9.00,0
20.33,0,0.05,0.00,0
12.50,20,0.08,12.50,0
8.50,15,0.22,11.00,0
19.00,25,0.09,25.00,0
13.67,16,0.14,15.50,0
20.00,20,0.07,20.00,0
9.78,18,0.16,18.00,0
5.36,5,0.31,5.00,0
12.85,16,0.20,16.00,0
14.41,35,0.15,17.50,0
6.32,5,0.28,6.00,0
9.25,16,0.13,15.00,0
11.10,10,0.19,12.75,0
34.45,51,0.27,48.00,0
20.00,20,0.07,20.00,0
22.50,25,0.11,21.25,0
12.33,15,0.12,12.33,0
7.62,7,0.29,7.62,0
8.83,10,0.41,9.40,0
