avggift,lastgife,pgift,ampergift,response
12.5,20,0.29,20,0
10.53,17,0.15,16,0
20.3,25,0.14,22.5,0
15.33,20,0.12,20,0
9.58,16,0.23,16,0
7.46,10,0.22,7.33,0
7.25,11,0.17,7.67,0
15,25,0.1,20,0
8.62,10,0.38,9.6,0
7.2,10,0.19,12.5,0
18.33,31,0.17,27.25,0
9.1,10,0.18,9.33,0
8.76,9,0.4,8.6,0
11.92,10,0.19,7.5,0
5.76,10,0.27,9.25,0
15,15,0.08,15,0
9,10,0.14,12.5,1
13.86,17,0.14,17,0
6.55,9,0.21,8.4,0
10.25,13,0.15,14,1
8.5,15,0.19,10.25,0
7.67,15,0.12,7.67,0
20,30,0.11,26.67,0
7,10,0.2,7,0
10.53,22,0.21,21,0
12.5,15,0.14,12.5,0
8.11,15,0.15,12.33,0
8.87,13,0.21,11.75,0
12,20,0.17,13.33,0
13.83,15,0.14,15.5,0
28,25,0.14,35,0
20.69,17,0.23,19,0
20,20,0.08,20,0
17.33,20,0.15,20,0
4.14,5,0.26,4.2,0
16.82,21,0.19,20.14,0
14.11,7,0.15,30,1
25,60,0.15,55,0
13,15,0.16,16.25,0
8.22,16,0.16,14,0
15.33,17,0.18,15.5,0
8.44,15,0.26,13,0
12.33,17,0.1,16,0
7.17,11,0.27,9.67,0
12.21,15,0.4,14.5,0
7.33,10,0.15,7.33,0
13.5,21,0.16,21,1
10.57,12,0.2,11.8,0
4.25,5,0.6,5.57,1
7.43,12,0.21,12,0
11.86,21,0.14,21,0
14,18,0.09,18,0
35,50,0.07,35,0
37.5,50,0.06,0,0
14.21,25,0.23,17.86,0
15,15,0.07,15,0
20,20,0.07,20,1
5,5,0.32,5,0
9,3,0.15,15,0
13.62,5,0.21,12.5,0
15,20,0.1,15,0
12.33,15,0.09,15,0
12.6,10,0.18,14.8,0
8,10,0.14,8,0
18.13,15,0.2,16.67,0
25,25,0.07,25,0
14.62,25,0.13,22.5,0
19.33,25,0.19,31,0
16.25,20,0.11,20,0
18.75,20,0.21,21.67,0
16.67,20,0.33,16.67,0
9.56,17,0.22,16.75,0
8.31,10,0.21,10.67,0
13,16,0.16,13,0
8.56,20,0.2,20,0
10.2,15,0.14,12.5,0
15.29,20,0.1,20,0
20,20,0.08,20,0
12.5,20,0.08,20,0
11.67,20,0.12,15,0
7.26,10,0.25,8,0
10,15,0.11,15,0
14,3,0.11,14,0
11.06,10,0.22,15,0
13,16,0.1,13,0
100,0,0.07,100,0
9.1,12,0.3,10.4,0
37.5,50,0.08,37.5,0
12.75,21,0.08,21,0
13,16,0.11,13,0
20,20,0.07,20,0
11,15,0.11,14,0
9.58,12,0.22,11,0
8.62,13,0.24,10,1
15,25,0.14,16.67,0
4.76,10,0.26,9,0
12.75,10,0.14,13.67,0
20,20,0.14,20,0
12.12,15,0.21,14.5,0
9,15,0.13,12.5,0
25,25,0.07,25,0
3.84,2,0.38,3.43,0
8.85,15,0.21,14,0
7.64,8,0.2,9.33,0
14.5,20,0.15,18.33,0
13.9,21,0.15,17,0
10.59,20,0.27,16.67,0
20,20,0.07,20,0
9.14,10,0.19,10,0
15.38,10,0.22,13.83,0
20,20,0.1,20,0
4.8,4,0.22,4.4,0
5.5,6,0.31,5.86,0
25.67,27,0.12,25.67,0
15.07,25,0.16,14.94,0
8.17,10,0.18,9.25,0
7.06,12,0.22,10.67,0
29.17,30,0.16,30,0
10.14,20,0.17,12.5,0
8.48,13,0.28,12,0
10,15,0.11,5,0
25,25,0.07,25,0
16.75,25,0.12,20,0
9.25,15,0.17,13,0
16.27,30,0.16,27.5,0
13.69,15,0.57,16,0
3.46,10,0.26,5.2,0
12.8,17,0.1,16,0
3.55,6,0.27,4.29,0
11.75,15,0.18,11.75,0
10.36,15,0.17,13.75,0
17.43,25,0.12,22.5,0
2.8,5,0.41,6,0
10.82,10,0.16,13.5,0
13.6,15,0.15,19,0
15,15,0.08,15,0
12.33,17,0.12,12.33,0
20,20,0.07,20,0
12.5,15,0.11,12.5,0
15.73,20,0.16,20,0
8.2,15,0.12,15,0
36,50,0.13,35,0
17.78,25,0.36,25,0
13,25,0.15,17.5,0
7.33,12,0.23,12,0
12.14,20,0.16,17.5,0
68.11,102,0.08,93,0
11,25,0.12,11,0
12.6,17,0.19,17,0
12.75,15,0.09,15,0
6.62,23,0.24,8.8,0
17.5,25,0.09,22.5,0
4.37,6,0.25,5.4,0
14.62,10,0.2,18.33,0
11.5,15,0.13,14,0
6.72,7,0.37,7,0
11.29,15,0.13,14,0
11.43,14,0.19,13.6,0
6,7,0.27,6.88,1
3,5,0.33,4,0
12.5,15,0.11,10,0
6.88,12,0.31,8.33,0
22.5,25,0.07,25,0
5.17,6,0.19,5.75,0
28.35,44,0.31,34.82,0
6.8,5,0.15,7.25,0
7.5,20,0.2,15.5,0
13.86,15,0.2,16.17,0
3.66,3,0.6,3.91,1
9,11,0.45,10.75,1
18,30,0.09,30,0
10,15,0.1,10,0
5.89,6,0.27,6.25,0
15.25,25,0.08,25,0
22.75,30,0.14,30,0
22.1,25,0.27,24.89,0
23.57,30,0.11,30,0
10.78,15,0.15,13,0
3.81,5,0.46,3.57,0
13.67,15,0.12,13.67,0
12,17,0.16,17,0
24.17,50,0.1,50,0
11.67,15,0.1,15,0
15,15,0.08,15,0
15.23,10,0.23,20.25,0
12.29,15,0.16,14.33,0
20,20,0.07,20,0
8.83,15,0.23,12.5,0
20,20,0.08,20,0
14.2,21,0.1,21,0
3.87,5,0.25,5,0
20,20,0.07,20,0
9.83,15,0.28,11.25,0
15,15,0.07,15,0
11,15,0.12,15,0
10.06,21,0.21,20.5,0
15,15,0.08,15,0
4.85,5,0.34,4,0
5.43,3,0.17,7.67,0
2.07,3,0.7,3,0
10,15,0.1,12.5,0
15.12,20,0.13,15,0
9.5,11,0.16,9.5,0
9.33,13,0.15,11.67,0
15,15,0.09,17.5,1
16.67,20,0.11,16.67,0
18,25,0.1,21,0
16.75,17,0.16,16.75,0
7.88,13,0.23,11,0
10.57,10,0.15,10.8,0
10,20,0.09,12.5,0
24,24,0.09,24,0
12.12,17,0.15,17,0
22.5,25,0.08,22.5,0
12.71,10,0.16,17.33,0
16,25,0.12,25,0
7,10,0.22,11,0
9.56,12,0.27,11,0
17.58,20,0.48,30.71,0
15.2,25,0.12,0,0
8.38,15,0.2,13.67,0
10.5,15,0.1,15,0
6.5,4,0.16,7.33,0
11,25,0.13,25,0
11.54,18,0.25,15.25,0
6.64,12,0.26,11,0
12.12,20,0.24,16.67,0
13.07,19,0.28,18,0
12,17,0.15,16,0
5.33,5,0.25,5.4,0
10,20,0.11,20,0
11,15,0.1,15,0
14.56,25,0.14,21.67,1
20,20,0.07,20,0
8.22,10,0.27,10,1
13,20,0.11,15,0
11.18,5,0.2,12.5,0
25,25,0.07,25,0
18.2,30,0.12,30,0
17.5,25,0.06,25,0
11.67,13,0.13,11.67,0
7.83,16,0.24,15,0
5.44,7,0.33,5.56,0
6,12,0.3,10.5,0
15,20,0.09,20,0
20,20,0.08,20,0
11,15,0.1,11,0
5.75,10,0.35,9,0
14.38,20,0.14,20,0
24,25,0.12,25,0
9,11,0.31,9,0
13,25,0.18,17.5,0
20,100,0.26,62.5,0
12.33,20,0.1,20,0
18.33,25,0.09,22.5,0
11,12,0.17,11,0
12.33,15,0.16,18.67,0
6.2,7,0.19,6.75,1
5.33,7,0.23,6.33,0
3.65,3,0.39,3.09,0
9.43,10,0.3,10.33,0
14.8,25,0.1,25,0
13.33,5,0.1,17.5,0
9.25,9,0.22,10.5,0
8.89,10,0.21,10,0
11.5,20,0.11,15,1
17,21,0.07,21,0
10,15,0.12,10,0
15,15,0.08,15,1
15.25,21,0.09,21,0
10.44,17,0.15,17,0
10.18,15,0.16,15,0
12.83,15,0.12,12.5,0
14.25,20,0.09,20,0
7.83,16,0.18,13,0
9.03,5,0.24,10.29,0
5.5,5,0.16,6.67,0
12.5,15,0.09,12.5,0
4.93,5,0.29,5,0
27.92,50,0.14,50,0
6.95,10,0.25,10,0
10.5,16,0.12,12.33,0
9.33,15,0.2,12.5,0
19,10,0.18,22.5,0
8.33,10,0.16,8.33,0
14,20,0.09,20,0
10.27,10,0.21,12,0
15,15,0.08,15,0
7,10,0.29,7.67,0
12.08,10,0.19,16.67,0
23.75,50,0.09,37.5,1
11,6,0.18,10,0
15,15,0.08,15,0
17,21,0.07,21,0
9.67,25,0.13,25,0
9.67,20,0.17,13.33,0
7.73,12,0.16,10,0
9.76,10,0.28,11,0
13.25,15,0.15,0,1
10,10,0.3,10,0
5.25,10,0.21,6,1
12.91,12,0.19,10.67,0
11,10,0.15,14,0
15,15,0.07,15,0
17,21,0.13,17,0
6.73,10,0.25,9.25,0
14.07,21,0.15,20,0
14,20,0.1,16,0
9.95,13,0.3,11.6,0
8.24,13,0.57,13.57,0
42.53,150,0.17,48.75,0
16.6,21,0.13,20.5,0
8.64,10,0.3,9.62,0
20,20,0.09,20,0
7.86,11,0.55,9.8,0
7.47,12,0.25,10.67,0
13,15,0.16,15.5,0
12.41,17,0.53,15.92,0
7.71,10,0.27,8.5,0
13,10,0.17,14,0
6.96,10,0.31,11.25,0
13.2,15,0.15,15.25,0
15,15,0.12,15,0
9,15,0.15,14,0
10.33,15,0.08,15,0
15,25,0.12,17.5,0
20,20,0.08,20,0
7.89,7,0.15,10.67,0
4.53,5,0.45,5.5,0
9.06,14,0.26,10.8,1
9.58,10,0.33,10,0
9.14,15,0.3,15,0
4.96,15,0.4,7,0
17.13,20,0.2,21.67,0
22.5,25,0.06,25,0
15.43,17,0.17,15.75,0
18.33,20,0.09,20,0
15,15,0.14,15,1
10.67,20,0.13,10.67,0
16.33,17,0.12,17,0
7.5,10,0.27,8.17,0
8,10,0.2,8.5,1
5.73,3,0.2,7.67,1
12.5,15,0.11,12.5,0
4.09,5,0.23,5,0
6.75,10,0.24,8.4,0
13.75,15,0.09,15,0
10.5,15,0.17,15,0
18.56,35,0.14,35,0
12.62,10,0.14,17,0
5.32,5,0.57,6.6,0
7.3,10,0.19,6.75,0
6.75,10,0.23,9.25,0
4.83,7,0.38,5.2,0
11,15,0.1,11,0
8.15,10,0.2,10,0
10.16,10,0.33,13.33,0
25,25,0.07,25,0
8.71,10,0.23,11.5,0
15,15,0.07,15,0
9,10,0.15,10,0
16.5,20,0.08,16.5,0
16.67,20,0.11,16.67,0
13.33,25,0.13,25,0
20,20,0.08,20,0
9.2,14,0.2,12.4,0
8,25,0.17,12.33,0
8.6,15,0.14,11,0
14.93,15,0.33,18,0
15,20,0.09,15,0
16,20,0.1,16,0
10.07,15,0.16,25,0
10.44,15,0.38,15,0
13.36,25,0.16,25,0
13.5,10,0.14,13.5,0
14,20,0.11,20,0
25,25,0.07,25,0
17.5,25,0.08,17.5,0
15,30,0.18,26.67,0
24.6,32,0.16,28.25,0
18.25,50,0.16,6.5,0
12.5,15,0.06,15,0
14.33,17,0.19,15.67,1
18,25,0.1,20,0
12,17,0.21,16,0
10.16,14,0.24,13,0
8.87,12,0.21,14.67,0
6.47,6,0.36,6.29,0
5.47,6,0.22,6,0
25,25,0.07,25,0
9.62,13,0.46,12.33,0
12.88,25,0.11,25,1
13,20,0.1,16,1
71.75,75,0.16,75,0
10.75,17,0.11,14,0
11.75,18,0.1,18,0
10,15,0.09,15,0
25,25,0.1,25,0
9.25,20,0.28,15,0
12.53,25,0.27,16.5,0
100.36,100,0.13,150,0
10.33,15,0.14,13,0
9.25,16,0.18,13,0
5.64,17,0.18,17,0
3.66,3,0.39,3.25,1
16.33,25,0.08,25,0
15,15,0.08,15,0
10,5,0.24,7.5,0
4.34,7,0.3,5.4,1
3.21,5,0.45,3.57,0
8.71,12,0.24,10.5,0
10,10,0.21,10,0
10,13,0.15,10,0
13,21,0.1,13,0
20,25,0.1,17.5,1
20,25,0.09,20,0
30.17,25,0.22,31.2,0
5.73,10,0.3,9,0
5.79,10,0.24,9.5,0
10,10,0.15,10,0
7,6,0.17,7.5,0
8.5,10,0.24,9.67,0
13.17,25,0.12,22.5,0
13,20,0.1,20,0
12.8,15,0.16,14.67,0
10.4,10,0.17,10.4,0
9.7,6,0.53,12.71,0
12.5,13,0.13,12.5,0
4.88,5,0.4,6,0
11.93,16,0.31,16,0
7.6,20,0.14,10,0
11.5,20,0.16,20,0
15,15,0.08,15,0
20,20,0.1,20,0
12.58,15,0.35,15.29,0
25.5,30,0.16,25.5,0
20,20,0.07,20,0
19.38,15,0.14,12.5,0
8.58,10,0.21,8.25,0
17.5,25,0.07,25,0
8.31,17,0.18,17,0
9.83,20,0.11,20,0
10,13,0.17,13,0
8.6,15,0.12,12,0
24.27,25,0.15,26.67,0
5.93,10,0.46,6.64,0
16.5,20,0.08,16.5,1
20,20,0.07,20,0
51.67,100,0.08,67.5,0
12,16,0.07,16,0
12.5,15,0.13,0,0
20,20,0.09,20,0
17.75,6,0.11,20,0
14,25,0.09,25,0
20.33,6,0.13,27.5,0
13.67,20,0.13,17,0
12,25,0.24,22.5,0
6.77,15,0.25,12.5,0
6.94,9,0.3,7.4,0
20,20,0.12,17.5,0
12.75,20,0.12,15.33,0
20,20,0.08,20,0
9.09,10,0.18,10,1
9.63,13,0.28,10.33,0
20.67,26,0.07,26,0
10,5,0.18,14,0
9.67,11,0.41,8,0
20.36,5,0.29,18.33,0
2.42,5,0.48,3.67,0
23.33,25,0.12,23.33,0
8.41,10,0.27,11.2,0
20,20,0.07,20,0
12,20,0.12,20,0
9.62,16,0.19,0,0
17.8,22,0.12,18,0
19.33,25,0.1,25,0
25,25,0.12,25,0
7.92,10,0.18,7.25,0
10,15,0.17,10,0
10,15,0.13,10,0
4.05,10,0.32,10,0
10.36,25,0.16,22.5,0
11.2,10,0.16,12.4,0
20,20,0.06,20,0
12,30,0.11,27.5,0
8,10,0.17,8,0
11.53,15,0.23,14.67,0
3.1,10,0.55,6.33,0
8.57,8,0.23,9,0
15.83,18,0.13,18,1
8.33,5,0.11,10,0
10.33,16,0.11,13,0
25,25,0.08,25,0
25,25,0.08,25,0
13.4,20,0.1,15,0
14.56,32,0.24,28.17,0
6,16,0.19,7.75,0
6.48,7,0.3,7.14,0
31.75,42,0.08,42,1
10,14,0.15,12.67,0
13.6,10,0.42,20.33,1
15.33,20,0.08,18,0
29.67,25,0.14,0,0
12.6,20,0.14,16.67,0
13,17,0.1,20,0
13.67,20,0.15,13.33,0
11.75,10,0.17,12.33,0
7.08,12,0.23,10.67,0
9,10,0.17,9,0
20,20,0.07,20,0
12.91,21,0.16,20,0
15,20,0.11,20,0
35,50,0.09,40,0
3.63,5,0.39,4,1
8.83,5,0.16,12.67,1
18.77,30,0.27,22.86,0
7.75,10,0.13,8.67,0
6.5,5,0.15,8,1
15.67,25,0.09,18.5,0
67.33,100,0.07,100,0
15,15,0.14,15,1
5.08,6,0.25,5,0
14.25,25,0.1,22.5,0
4.66,9,0.37,7.5,0
8.67,11,0.14,8.67,0
14.29,15,0.19,15.83,1
14.2,32,0.21,32,0
15.86,24,0.34,24,0
7.85,10,0.36,9.67,0
18.6,25,0.14,20,0
11.5,20,0.21,20,0
3.91,5,0.31,4.29,0
16.2,25,0.12,21.67,0
22,25,0.12,25,0
12.5,15,0.09,12.5,0
7.67,7,0.16,7.67,0
14.67,18,0.08,18,0
7.94,20,0.25,9.25,0
13,16,0.09,13,0
27.5,25,0.06,30,1
3.76,4,0.38,5,0
6.75,5,0.22,6.17,0
30,30,0.14,30,0
6.08,9,0.22,7.4,0
8.33,10,0.17,7.5,0
4.8,7,0.53,5.33,0
14.58,15,0.25,15,0
18.67,25,0.12,23.33,0
7.47,10,0.31,11.67,0
5.43,7,0.36,6,0
19,20,0.2,23,0
12.09,15,0.16,14.33,0
5.41,6,0.23,6,0
17,15,0.1,15,0
17.5,13,0.2,20.5,1
20.4,25,0.09,25,0
7.16,10,0.29,10.25,0
11.36,20,0.17,20,1
20,20,0.07,20,0
17,21,0.1,17,0
15,15,0.07,15,0
15,25,0.08,25,0
7.54,10,0.3,12,0
6.25,10,0.13,7.5,0
9.56,12,0.14,10,0
10,15,0.11,10,0
23,27,0.08,26,0
10.22,10,0.15,10.5,0
30,35,0.1,35,0
11.9,20,0.19,13.4,1
6.8,19,0.23,19,0
4.5,5,0.24,4.67,0
17,35,0.14,35,0
30,30,0.08,30,0
14,20,0.18,20,0
9.69,10,0.23,9.62,0
9.25,15,0.14,9,0
15,15,0.07,15,1
6.41,14,0.27,12,0
4.94,10,0.25,6.4,0
10,15,0.13,12.5,0
6.53,5,0.36,5.67,0
25,25,0.06,25,0
45,45,0.08,45,0
10.85,12,0.18,12.4,0
5.19,25,0.26,5,0
4.59,5,0.35,4.83,0
24.62,41,0.18,40,0
25,25,0.07,25,0
9.32,12,0.27,10.67,0
10.11,16,0.13,14.5,0
8.5,10,0.29,10,0
10.5,25,0.11,7,0
8.8,20,0.14,13,0
6.5,10,0.16,6.67,0
6.8,7,0.28,7.38,0
18.67,25,0.12,23.33,0
15,20,0.09,15,0
12.2,20,0.16,12.2,0
8.5,11,0.13,11.33,0
5.1,3,0.33,5,0
15,15,0.07,15,0
17.12,35,0.12,30,0
14.44,16,0.17,16.4,0
15,15,0.08,15,0
20,25,0.08,20,0
26.67,20,0.1,35,0
11.43,17,0.17,17,0
20,20,0.08,20,0
18.2,25,0.12,21.67,0
7.7,15,0.34,14,1
7.83,20,0.14,10,0
11.62,13,0.17,11.67,0
13,16,0.06,16,0
25,25,0.06,25,0
10.25,10,0.12,12,0
19,10,0.11,28,0
13.57,19,0.18,15.25,0
6.75,10,0.26,10,0
9.25,14,0.21,11,0
7.6,10,0.16,8.67,0
50,50,0.07,50,0
50,50,0.07,50,0
8.41,10,0.23,10,0
21,25,0.09,25,0
11,15,0.12,15,0
48.33,20,0.07,20,0
8.4,6,0.15,7.33,0
12.19,15,0.33,15,0
13.8,17,0.12,15.67,0
12.62,12,0.21,11.33,0
16.88,20,0.1,20,0
11.39,11,0.31,12.5,0
12.5,15,0.1,12.5,0
6.54,10,0.36,10,0
9,15,0.1,12,0
10.25,20,0.1,14.5,0
17.5,25,0.13,10,0
13.48,20,0.38,15,0
11.6,15,0.14,13,0
13.29,21,0.12,17,0
14.5,10,0.11,20,0
22.5,25,0.08,22.5,0
9.25,15,0.13,15,0
8.21,10,0.2,10,0
5,10,0.4,10,0
7.73,10,0.22,10,0
10.62,10,0.19,5,0
7.79,15,0.31,13.67,0
10.14,15,0.14,15,0
14,25,0.09,25,0
8.45,15,0.23,15,0
7.35,8,0.33,8.33,0
25,25,0.07,25,0
6.91,11,0.31,9.75,0
21.11,30,0.13,22.5,0
8,25,0.28,17.5,0
10.5,15,0.11,15,0
8.25,10,0.18,8.25,0
15,15,0.08,15,0
7.5,10,0.28,10.17,0
11,10,0.11,13.33,0
17.5,20,0.08,20,0
10.12,16,0.15,15,0
55,60,0.07,55,0
10.84,20,0.39,13,0
15,15,0.14,13.33,0
3.65,7,0.28,7.33,0
15,15,0.08,15,0
16.33,38,0.16,27.67,0
20,25,0.08,22.5,0
15,15,0.07,15,0
10.17,10,0.19,11.2,0
7,10,0.19,10,0
16.23,19,0.16,18.5,0
5.5,3,0.25,6.22,0
10.06,10,0.32,12,1
12.33,15,0.1,13.5,0
6.62,6,0.25,7.86,0
12.38,15,0.16,15,0
20,20,0.07,20,0
13.22,20,0.2,17,0
15.6,15,0.09,18.5,0
9,15,0.12,12,0
20,20,0.08,20,0
17.88,26,0.14,22.75,0
25,25,0.06,25,0
12.5,20,0.1,12.5,0
7.12,7,0.23,7.5,0
14.25,21,0.11,20.5,0
17.5,25,0.08,17.5,0
9.73,1.58E+01,0.18,15.19,1
12.09,20,0.18,14,0
20,20,0.07,20,0
3.4,3,0.55,3.36,0
8.53,13,0.22,12,1
19.3,30,0.15,30,0
11.9,10,0.17,10.67,0
16.36,20,0.14,20,0
3.17,6,0.33,4.33,0
4.29,10,0.32,10,0
6.75,10,0.18,8.5,0
12,15,0.14,11.67,0
20,20,0.08,0,0
13.33,15,0.09,15,0
7.75,15,0.17,8.33,0
32.14,20,0.11,30,0
14.07,20,0.2,18.5,0
20,20,0.07,20,0
100,100,0.06,100,0
8.25,18,0.13,11.5,0
13.33,15,0.15,15,0
12.5,15,0.09,12.5,0
16.67,20,0.08,20,0
8.75,13,0.19,12.5,0
12.5,15,0.11,15,0
20,20,0.07,20,0
8.33,10,0.18,10,0
10.2,19,0.16,19,0
8.29,10,0.22,10.4,1
20,20,0.1,20,0
6.34,5,0.36,6.27,1
4.36,8,0.22,6.75,0
11,15,0.2,15,0
23.57,30,0.12,28.33,0
10.14,20,0.14,20,0
6,5,0.32,3.86,0
4.24,5,0.28,5.33,0
17.5,25,0.15,20.75,0
10.8,20,0.19,20,0
9.14,17,0.23,15.67,0
25,38,0.1,28.33,0
10,15,0.23,14.2,0
4.56,3,0.27,5.4,0
4.85,8,0.28,6,0
11,12,0.17,13,0
15,15,0.06,15,0
9.29,15,0.13,15,0
12,10,0.2,12,0
15,15,0.1,15,0
11.12,25,0.15,25,0
13,15,0.1,14,0
20,20,0.07,20,0
17.31,20,0.14,19,0
31.88,50,0.14,45,0
9.75,10,0.16,15,0
20,20,0.07,20,0
12.71,4,0.4,25.1,0
4.8,5,0.26,5,0
20,20,0.07,20,0
21.36,29,0.16,29,0
9.43,15,0.13,15,0
15,20,0.11,15,0
8,14,0.26,12,1
10.38,14,0.19,14,0
8.33,10,0.15,7.5,0
9.33,10,0.19,12.6,0
6.65,15,0.24,10.25,0
15,15,0.07,15,0
14,20,0.1,20,0
6.63,10,0.24,8.5,0
7.8,20,0.38,10.5,0
11,12,0.19,11,0
14.43,17,0.18,17,0
15,15,0.07,15,0
8.17,20,0.21,12.25,0
10.16,16,0.44,14.38,0
27,50,0.23,36.4,0
